2015 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Colleges of Applied Arts and Technology,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),
CENTENNIAL COLLEGE,Automotive Service Technician,7,2,28.6%,
CENTENNIAL COLLEGE,Automotive Service Technician Co-Op,9,2,22.2%,
CENTENNIAL COLLEGE,Aviation Technician - Aircraft Maintenance,85,22,25.9%,
CENTENNIAL COLLEGE,Aviation Technician - Avionics Maintenance,19,7,36.8%,
CENTENNIAL COLLEGE,Bachelor Of Applied Information Sciences (computer And Communication Networking),9,3,33.3%,
CENTENNIAL COLLEGE,"Bachelor Of Applied Information Sciences (software Systems - Design, Development And Management)",8,7,87.5%,
CENTENNIAL COLLEGE,Bachelor of Applied Business (Integrated Accounting And Information Technology Management),*,*,*,
CENTENNIAL COLLEGE,Baking - Pre-employment,8,4,50.0%,
CENTENNIAL COLLEGE,Biomedical Engineering Technology,19,9,47.4%,
CENTENNIAL COLLEGE,Biotechnology Technologist,37,22,59.5%,
CENTENNIAL COLLEGE,Book And Magazine Publishing,22,9,40.9%,
CENTENNIAL COLLEGE,Bridging To University Nursing,39,11,28.2%,
CENTENNIAL COLLEGE,Broadcasting - Radio And Television,42,17,40.5%,
CENTENNIAL COLLEGE,Business,10,4,40.0%,
CENTENNIAL COLLEGE,Business - Accounting,32,14,43.8%,
CENTENNIAL COLLEGE,Business - Marketing,17,9,52.9%,
CENTENNIAL COLLEGE,Business - Operations,7,3,42.9%,
CENTENNIAL COLLEGE,Business Administration,35,11,31.4%,
CENTENNIAL COLLEGE,Business Administration - Accounting,69,50,72.5%,
CENTENNIAL COLLEGE,Business Administration - Human Resources,55,30,54.5%,
CENTENNIAL COLLEGE,Business Administration - International Business,13,7,53.8%,
CENTENNIAL COLLEGE,Business Administration - Marketing,15,7,46.7%,
CENTENNIAL COLLEGE,Business Administration - Materials And Operations Management,10,3,30.0%,
CENTENNIAL COLLEGE,Business Management,18,14,77.8%,
CENTENNIAL COLLEGE,Chemical Engineering Technician,6,1,16.7%,
CENTENNIAL COLLEGE,Chemical Engineering Technology,23,10,43.5%,
CENTENNIAL COLLEGE,Child And Youth Worker,90,47,52.2%,
CENTENNIAL COLLEGE,"Children's Entertainment: Writing, Production and Management",8,4,50.0%,
CENTENNIAL COLLEGE,Collaborative Nursing,15,4,26.7%,
CENTENNIAL COLLEGE,Community And Justice Services,51,28,54.9%,
CENTENNIAL COLLEGE,Community Development Work,7,2,28.6%,
CENTENNIAL COLLEGE,Computer Engineering Technician,*,*,*,
CENTENNIAL COLLEGE,Computer Engineering Technology,7,3,42.9%,
CENTENNIAL COLLEGE,Computer Repair And Maintenance,8,5,62.5%,
CENTENNIAL COLLEGE,Computer Systems Technician,19,10,52.6%,
CENTENNIAL COLLEGE,Computer Systems Technology,35,16,45.7%,
CENTENNIAL COLLEGE,Construction Management,*,*,*,
CENTENNIAL COLLEGE,Contact Centre Operations,12,5,41.7%,
CENTENNIAL COLLEGE,Court And Administrative Tribunal Agent,56,31,55.4%,
CENTENNIAL COLLEGE,Court Reporting - Stenomask,19,11,57.9%,
CENTENNIAL COLLEGE,Culinary Management,*,*,*,
CENTENNIAL COLLEGE,Culture and Heritage Site Management,10,4,40.0%,
CENTENNIAL COLLEGE,Day Care Assistant,13,5,38.5%,
CENTENNIAL COLLEGE,Developmental Services Worker,13,9,69.2%,
CENTENNIAL COLLEGE,Drafting Technician,*,*,*,
CENTENNIAL COLLEGE,Early Childhood Education,138,67,48.6%,
CENTENNIAL COLLEGE,Electrical Construction And Maintenance - Engineer Technician,*,*,*,
CENTENNIAL COLLEGE,Electrical Engineering Technician,16,4,25.0%,
CENTENNIAL COLLEGE,Electro-mechanical Engineering Technician,6,3,50.0%,
CENTENNIAL COLLEGE,Electro-mechanical Engineering Technology,17,3,17.6%,
CENTENNIAL COLLEGE,Electronics Engineering Technician,12,5,41.7%,
CENTENNIAL COLLEGE,Electronics Engineering Technology,12,2,16.7%,
