2014 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Colleges of Applied Arts and Technology,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),
CAMBRIAN COLLEGE,Computer Systems Technology,8,4,50.0%,
CAMBRIAN COLLEGE,Corporate Safety And Security,5,0,0.0%,
CAMBRIAN COLLEGE,Dental Assisting (Levels I And Ii),9,1,11.1%,
CAMBRIAN COLLEGE,Dental Hygiene,24,6,25.0%,
CAMBRIAN COLLEGE,Developmental Services Worker,19,4,21.1%,
CAMBRIAN COLLEGE,Diagnostic Medical Sonography,7,2,28.6%,
CAMBRIAN COLLEGE,Early Childhood Education,27,9,33.3%,
CAMBRIAN COLLEGE,Early Childhood Education - Binoojiinyag Kinoomaadwin,*,*,*,
CAMBRIAN COLLEGE,Electrical Engineering Technician,10,1,10.0%,
CAMBRIAN COLLEGE,Electrical Engineering Technology - Industrial,9,0,0.0%,
CAMBRIAN COLLEGE,Electrical Techniques,22,3,13.6%,
CAMBRIAN COLLEGE,Energy Systems Technology,6,2,33.3%,
CAMBRIAN COLLEGE,Environmental Monitoring And Impact Assessment,8,4,50.0%,
CAMBRIAN COLLEGE,General Arts And Science,*,*,*,
CAMBRIAN COLLEGE,General Arts And Science - One-Year,25,7,28.0%,
CAMBRIAN COLLEGE,"Heating, Refrigeration And Air Conditioning Technician",12,1,8.3%,
CAMBRIAN COLLEGE,"Heating, Ventilation And Air Conditioning Techniques",7,1,14.3%,
CAMBRIAN COLLEGE,Heavy Equipment Technician,13,0,0.0%,
CAMBRIAN COLLEGE,Hotel And Restaurant Management,9,2,22.2%,
CAMBRIAN COLLEGE,Human Resources Management,10,4,40.0%,
CAMBRIAN COLLEGE,Instrumentation Engineering Technician - Industrial,*,*,*,
CAMBRIAN COLLEGE,Instrumentation Engineering Technology - Industrial,*,*,*,
CAMBRIAN COLLEGE,Journalism,10,4,40.0%,
CAMBRIAN COLLEGE,Law And Security Administration,*,*,*,
CAMBRIAN COLLEGE,Library Technician (Bilingual),12,1,8.3%,
CAMBRIAN COLLEGE,Magnetic Resonance Imaging,*,*,*,
CAMBRIAN COLLEGE,Mechanical Engineering Technician - Industrial Maintenance,8,2,25.0%,
CAMBRIAN COLLEGE,Mechanical Techniques,15,1,6.7%,
CAMBRIAN COLLEGE,Medical Laboratory Technology,17,2,11.8%,
CAMBRIAN COLLEGE,Medical Radiation Technology,14,3,21.4%,
CAMBRIAN COLLEGE,Mining Engineering Technician,*,*,*,
CAMBRIAN COLLEGE,Mining Engineering Technology,*,*,*,
CAMBRIAN COLLEGE,Motive Power Technician - Service And Management,9,4,44.4%,
CAMBRIAN COLLEGE,Motive Power Techniques - Heavy Equipment,7,0,0.0%,
CAMBRIAN COLLEGE,Music - Performance,17,3,17.6%,
CAMBRIAN COLLEGE,Paramedic,14,2,14.3%,
CAMBRIAN COLLEGE,Personal Support Worker,16,4,25.0%,
CAMBRIAN COLLEGE,Physical Fitness Management,18,5,27.8%,
CAMBRIAN COLLEGE,Police Foundations,30,7,23.3%,
CAMBRIAN COLLEGE,Power Engineering Technician,16,0,0.0%,
CAMBRIAN COLLEGE,Power Engineering Techniques,8,4,50.0%,
CAMBRIAN COLLEGE,Power Engineering Technology,*,*,*,
CAMBRIAN COLLEGE,Powerline Technician,23,1,4.3%,
CAMBRIAN COLLEGE,Practical Nursing,27,8,29.6%,
CAMBRIAN COLLEGE,Pre-Health Sciences,32,8,25.0%,
CAMBRIAN COLLEGE,Pre-Service Firefighter Education And Training,15,2,13.3%,
CAMBRIAN COLLEGE,Pre-Trades/Technology,7,2,28.6%,
CAMBRIAN COLLEGE,Public Relations,14,3,21.4%,
CAMBRIAN COLLEGE,Social Service Worker,32,12,37.5%,
CAMBRIAN COLLEGE,Theatre Arts - Technical Production,6,4,66.7%,
CAMBRIAN COLLEGE,Tourism And Travel,5,4,80.0%,
CAMBRIAN COLLEGE,Visual And Creative Arts - Graphic Design,7,3,42.9%,
CAMBRIAN COLLEGE,Welding Fitter,*,*,*,
CAMBRIAN COLLEGE,Welding And Fabrication Technician,9,1,11.1%,
CAMBRIAN COLLEGE Total,,818,213,26.0%,
,,, , ,
CANADORE COLLEGE,Advertising - Creative Media,9,3,33.3%,
CANADORE COLLEGE,Aviation Pilot-Fixed Wing-Aboriginal,*,*,*,
CANADORE COLLEGE,Aircraft Structural Repair Technician,8,3,37.5%,
CANADORE COLLEGE,Aviation Technician - Aircraft Maintenance,29,5,17.2%,
CANADORE COLLEGE,Aviation Technician - Avionics Maintenance,7,3,42.9%,
CANADORE COLLEGE,Biotechnician,5,2,40.0%,
CANADORE COLLEGE,Biotechnologist,*,*,*,
CANADORE COLLEGE,Broadcasting - Radio,9,3,33.3%,
CANADORE COLLEGE,Broadcasting - Television And Video Production,15,8,53.3%,
CANADORE COLLEGE,Building Construction Technician,10,2,20.0%,
CANADORE COLLEGE,Business,8,3,37.5%,
CANADORE COLLEGE,Business - Accounting,7,3,42.9%,
CANADORE COLLEGE,Business Administration,11,6,54.5%,
CANADORE COLLEGE,Business Administration - Accounting,14,2,14.3%,
CANADORE COLLEGE,Business Administration - Marketing,*,*,*,
CANADORE COLLEGE,Business Management,*,*,*,
CANADORE COLLEGE,Civil Engineering Technician,5,0,0.0%,
CANADORE COLLEGE,Community And Justice Services,19,7,36.8%,
CANADORE COLLEGE,Computer Programmer Analyst,6,2,33.3%,
CANADORE COLLEGE,Computer Systems Technician,*,*,*,
CANADORE COLLEGE,Computer Systems Technology - Networking,*,*,*,
CANADORE COLLEGE,Culinary Administration,13,3,23.1%,
CANADORE COLLEGE,Culinary Management,11,2,18.2%,
CANADORE COLLEGE,Culinary Skills - Chef Training,5,1,20.0%,
CANADORE COLLEGE,Dental Hygiene,14,3,21.4%,
CANADORE COLLEGE,Early Childhood Education,36,9,25.0%,
CANADORE COLLEGE,Ecotourism,8,0,0.0%,
CANADORE COLLEGE,Electrical Techniques,20,6,30.0%,
CANADORE COLLEGE,Environmental Technician - Protection And Compliance,11,3,27.3%,
CANADORE COLLEGE,General Arts And Science,15,6,40.0%,
CANADORE COLLEGE,Graphic Design,15,6,40.0%,
CANADORE COLLEGE,"Hotel, Resort And Restaurant Administration",9,4,44.4%,
CANADORE COLLEGE,"Hotel, Resort And Restaurant Management",*,*,*,
CANADORE COLLEGE,Indigenous Preparatory Studies,*,*,*,
CANADORE COLLEGE,Indigenous Wellness And Addictions Prevention,*,*,*,
CANADORE COLLEGE,Internet Application Programmer,*,*,*,
CANADORE COLLEGE,Journalism - Print And Broadcast,*,*,*,
CANADORE COLLEGE,Law Clerk,8,7,87.5%,
