9.2 Value of full-time loans by jurisdiction since 1964 ($ million),,,,,,
REF_YEAR,GEO ,LoanAmount,,,,
,Yukon,1.11,,,,
2000-2001,Canada,1564.7,,,,
,Newfoundland and Labrador,69.5,,,,
,Prince Edward Island,13.5,,,,
,Nova Scotia,90.7,,,,
,New Brunswick,77.6,,,,
,Ontario,704.5,,,,
,Manitoba,46.9,,,,
,Saskatchewan,78.2,,,,
,Alberta,184.2,,,,
,British Columbia,298.6,,,,
,Yukon,1.2,,,,
2001-2002,Canada,1507.4,,,,
,Newfoundland and Labrador,61.3,,,,
,Prince Edward Island,16.1,,,,
,Nova Scotia,92.9,,,,
,New Brunswick,77.7,,,,
,Ontario,643.7,,,,
,Manitoba,44.5,,,,
,Saskatchewan,79,,,,
,Alberta,181.3,,,,
,British Columbia,309.5,,,,
,Yukon,1.28,,,,
2002-2003,Canada,1544.7,,,,
,Newfoundland and Labrador,56.2,,,,
,Prince Edward Island,17,,,,
,Nova Scotia,92.5,,,,
,New Brunswick,77.9,,,,
,Ontario,664.6,,,,
,Manitoba,43.4,,,,
,Saskatchewan,74.5,,,,
,Alberta,187.3,,,,
,British Columbia,330,,,,
,Yukon,1.27,,,,
2003-2004,Canada,1643,,,,
,Newfoundland and Labrador,52,,,,
,Prince Edward Island,17.9,,,,
,Nova Scotia,92.6,,,,
,New Brunswick,82.5,,,,
,Ontario,734.5,,,,
,Manitoba,44.1,,,,
,Saskatchewan,76,,,,
,Alberta,200.1,,,,
,British Columbia,342,,,,
,Yukon,1.28,,,,
2004-2005,Canada,1628.8,,,,
,Newfoundland and Labrador,46.5,,,,
,Prince Edward Island,17.3,,,,
,Nova Scotia,88.8,,,,
,New Brunswick,80,,,,
,Ontario,768.9,,,,
,Manitoba,41.5,,,,
,Saskatchewan,71.3,,,,
,Alberta,198.9,,,,
,British Columbia,314.4,,,,
,Yukon,1.24,,,,
2005-2006,Canada,1935,,,,
,Newfoundland and Labrador,49.3,,,,
,Prince Edward Island,21.2,,,,
,Nova Scotia,107.1,,,,
,New Brunswick,88.8,,,,
,Ontario,971.2,,,,
,Manitoba,48.7,,,,
,Saskatchewan,80.8,,,,
,Alberta,215,,,,
,British Columbia,351.5,,,,
,Yukon,1.41,,,,
2006-2007,Canada,1927.1,,,,
,Newfoundland and Labrador,45.7,,,,
,Prince Edward Island,22.6,,,,
,Nova Scotia,102.6,,,,
,New Brunswick,91.4,,,,
,Ontario,1034.9,,,,
,Manitoba,44.3,,,,
,Saskatchewan,74,,,,
,Alberta,189.4,,,,
,British Columbia,320.9,,,,
,Yukon,1.35,,,,
2007-2008,Canada,2012.5,,,,
,Newfoundland and Labrador,43.9,,,,
,Prince Edward Island,24.6,,,,
,Nova Scotia,102.1,,,,
,New Brunswick,88.2,,,,
,Ontario,1146,,,,
,Manitoba,43.1,,,,
,Saskatchewan,66,,,,
,Alberta,190.5,,,,
,British Columbia,306.9,,,,
,Yukon,1.19,,,,
2008-2009,Canada,2077.8,,,,
,Newfoundland and Labrador,39.7,,,,
,Prince Edward Island,21.7,,,,
,Nova Scotia,101.7,,,,
,New Brunswick,83.2,,,,
,Ontario,1210,,,,
,Manitoba,41.3,,,,
,Saskatchewan,58.8,,,,
,Alberta,204.8,,,,
,British Columbia,315.3,,,,
,Yukon,1.33,,,,
2009-2010,Canada,2083.2,,,,
,Newfoundland and Labrador,33.3,,,,
,Prince Edward Island,21,,,,
,Nova Scotia,97.5,,,,
,New Brunswick,74.3,,,,
,Ontario,1208.8,,,,
,Manitoba,36.4,,,,
,Saskatchewan,56.1,,,,
,Alberta,216.5,,,,
,British Columbia,338.3,,,,
,Yukon,1.07,,,,
2010-2011,Canada,2218.9,,,,
,Newfoundland and Labrador,31.1,,,,
,Prince Edward Island,21.2,,,,
,Nova Scotia,98.5,,,,
,New Brunswick,73.2,,,,
,Ontario,1285,,,,
,Manitoba,40.3,,,,
,Saskatchewan,65.1,,,,
,Alberta,252.3,,,,
,British Columbia,351,,,,
,Yukon,1.14,,,,
2011-2012,Canada,2400.7,,,,
,Newfoundland and Labrador,29.9,,,,
,Prince Edward Island,21.1,,,,
,Nova Scotia,106.1,,,,
,New Brunswick,74.1,,,,
,Ontario,1420,,,,
,Manitoba,44.6,,,,
,Saskatchewan,66.2,,,,
,Alberta,275.8,,,,
,British Columbia,361.9,,,,
,Yukon,1.13,,,,
2012-2013,Canada,2566.4,,,,
,Newfoundland and Labrador,29.9,,,,
,Prince Edward Island,21.3,,,,
,Nova Scotia,110.5,,,,
,New Brunswick,71.7,,,,
,Ontario,1603.9,,,,
,Manitoba,47.8,,,,
,Saskatchewan,66.6,,,,
,Alberta,269.3,,,,
,British Columbia,344.5,,,,
,Yukon,0.95,,,,
2013-2014,Canada,2700.7,,,,
,Newfoundland and Labrador,29,,,,
,Prince Edward Island,20.3,,,,
,Nova Scotia,116.7,,,,
,New Brunswick,70.4,,,,
,Ontario,1735.3,,,,
,Manitoba,47.3,,,,
,Saskatchewan,66.1,,,,
,Alberta,274.1,,,,
,British Columbia,340.5,,,,
,Yukon,0.89,,,,
2014-2015,Canada,2702.2,,,,
,Newfoundland and Labrador,28,,,,
,Prince Edward Island,18.8,,,,
,Nova Scotia,115.1,,,,
,New Brunswick,66.4,,,,
,Ontario,1736.6,,,,
,Manitoba,46,,,,
,Saskatchewan,68.6,,,,
,Alberta,285.9,,,,
,British Columbia,335.7,,,,
,Yukon,0.98,,,,
*Total*,Canada,"*48,747.8*",,,,
,Newfoundland and Labrador,"*1,534.8*",,,,
,Prince Edward Island,*449.0*,,,,
,Nova Scotia,"*2,538.8*",,,,
,New Brunswick,"*2,044.4*",,,,
,Ontario,"*25,4670.8*",,,,
,Manitoba,"*1,381.0*",,,,
,Saskatchewan,"*1,985.5*",,,,
,Alberta,"*5,670.8*",,,,
,British Columbia,"*7,136.8*",,,,
,Yukon,*32.9*,,,,
