"","Ref_Date","GEO","STUDYLEVEL","averageTuitionFee"
"253","2017/2018","Quebec","Canadian undergraduate",3736
"254","2017/2018","Quebec","Canadian graduate",3745
"255","2017/2018","Ontario","Canadian undergraduate",9389
"256","2017/2018","Ontario","Canadian graduate",10831
"257","2017/2018","Manitoba","Canadian undergraduate",4885
"258","2017/2018","Manitoba","Canadian graduate",5332
"259","2017/2018","Saskatchewan","Canadian undergraduate",7618
"260","2017/2018","Saskatchewan","Canadian graduate",4258
"261","2017/2018","Alberta","Canadian undergraduate",6840
"262","2017/2018","Alberta","Canadian graduate",6750
"263","2017/2018","British Columbia","Canadian undergraduate",6363
"264","2017/2018","British Columbia","Canadian graduate",9014
