"","Ref_Date","GEO","SCHOOL","REVENUE","FUND","revenueAmount"
"90463","2014/2015","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",230442
"90464","2015/2016","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",237444
"101585","2000/2001","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",298464
"101586","2001/2002","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",317729
"101587","2002/2003","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",352545
"101588","2003/2004","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",388896
"101589","2004/2005","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",407012
"101590","2005/2006","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",435790
"101591","2006/2007","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",441010
"101592","2007/2008","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",456296
"101593","2008/2009","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",496423
"101594","2009/2010","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",665482
"101595","2010/2011","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",711973
"101596","2011/2012","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",742808
"101597","2012/2013","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",775154
"101598","2013/2014","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",816580
"101599","2014/2015","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",831953
"101600","2015/2016","Alberta","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",849327
"112721","2000/2001","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",321017
"112722","2001/2002","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",336687
"112723","2002/2003","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",440927
"112724","2003/2004","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",579043
"112725","2004/2005","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",689395
"112726","2005/2006","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",719276
"112727","2006/2007","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",750003
"112728","2007/2008","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",775867
"112729","2008/2009","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",864459
"112730","2009/2010","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",939085
"112731","2010/2011","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1009476
"112732","2011/2012","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1070519
"112733","2012/2013","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1123380
"112734","2013/2014","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1199535
"112735","2014/2015","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1258625
"112736","2015/2016","British Columbia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1358126
