"","institutionName","programName","numOfBorrowers","receivedAssistance","AssistanceParticipationRate"
"203","UNIVERSITY OF WESTERN ONTARIO","Kinesiology, Recreation And Physical Education",93,20,21.5
"204","UNIVERSITY OF WESTERN ONTARIO","Law",109,11,10.1
"205","UNIVERSITY OF WESTERN ONTARIO","Medicine",124,4,3.2
"206","UNIVERSITY OF WESTERN ONTARIO","Nursing",147,16,10.9
"207","UNIVERSITY OF WESTERN ONTARIO","Other Arts and Science",1682,544,32.3
"208","UNIVERSITY OF WESTERN ONTARIO","Other Health Professions",104,47,45.2
"209","UNIVERSITY OF WESTERN ONTARIO","Social Sciences",257,87,33.9
"210","UNIVERSITY OF WESTERN ONTARIO","Theology",10,6,60
"211","UNIVERSITY OF WESTERN ONTARIO","Therapy And Rehabilitation",112,17,15.2
"212","UNIVERSITY OF WINDSOR","Agricultural And Biological Sciences",39,14,35.9
"213","UNIVERSITY OF WINDSOR","Business and Commerce",200,81,40.5
"214","UNIVERSITY OF WINDSOR","Computer Science",48,23,47.9
"215","UNIVERSITY OF WINDSOR","Education (Teacher Training)",250,119,47.6
"216","UNIVERSITY OF WINDSOR","Engineering",112,41,36.6
"217","UNIVERSITY OF WINDSOR","Fine And Applied Arts",83,24,28.9
"218","UNIVERSITY OF WINDSOR","Humanities",128,40,31.3
"219","UNIVERSITY OF WINDSOR","Kinesiology, Recreation And Physical Education",71,20,28.2
"220","UNIVERSITY OF WINDSOR","Law",113,30,26.5
"221","UNIVERSITY OF WINDSOR","Mathematics",6,1,16.7
"222","UNIVERSITY OF WINDSOR","Nursing",112,40,35.7
"223","UNIVERSITY OF WINDSOR","Other Arts and Science",213,96,45.1
"224","UNIVERSITY OF WINDSOR","Physical Sciences",12,4,33.3
"225","UNIVERSITY OF WINDSOR","Social Sciences",382,168,44
"226","WILFRID LAURIER UNIVERSITY","Business and Commerce",342,66,19.3
"227","WILFRID LAURIER UNIVERSITY","Education (Teacher Training)",41,9,22
"228","WILFRID LAURIER UNIVERSITY","Fine And Applied Arts",32,12,37.5
"229","WILFRID LAURIER UNIVERSITY","Journalism",15,7,46.7
"230","WILFRID LAURIER UNIVERSITY","Other Arts and Science",973,278,28.6
"231","WILFRID LAURIER UNIVERSITY","Other Health Professions",16,7,43.8
"232","WILFRID LAURIER UNIVERSITY","Social Sciences",269,86,32
"234","YORK UNIVERSITY","Agricultural And Biological Sciences",6,3,50
"235","YORK UNIVERSITY","Business and Commerce",787,260,33
"236","YORK UNIVERSITY","Computer Science",142,39,27.5
"237","YORK UNIVERSITY","Education (Teacher Training)",353,145,41.1
"238","YORK UNIVERSITY","Engineering",27,6,22.2
"239","YORK UNIVERSITY","Fine And Applied Arts",251,89,35.5
"240","YORK UNIVERSITY","Humanities",5,1,20
"241","YORK UNIVERSITY","Kinesiology, Recreation And Physical Education",280,95,33.9
"242","YORK UNIVERSITY","Law",180,48,26.7
"243","YORK UNIVERSITY","Not Applicable/ No Code",22,7,31.8
"244","YORK UNIVERSITY","Nursing",366,146,39.9
"245","YORK UNIVERSITY","Other Arts and Science",3595,1563,43.5
"247","YORK UNIVERSITY","Social Sciences",409,205,50.1
