"","Ref_Date","GEO","SCHOOL","REVENUE","FUND","revenueAmount"
"77705","2008/2009","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",839207
"77706","2009/2010","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1019015
"77707","2010/2011","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1077399
"77708","2011/2012","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1058222
"77709","2012/2013","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1072313
"77710","2013/2014","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1139574
"77711","2014/2015","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1151231
"77712","2015/2016","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1216616
"79313","2000/2001","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",99932
"79314","2001/2002","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",108161
"79315","2002/2003","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",118055
"79316","2003/2004","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",126426
"79317","2004/2005","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",135359
"79318","2005/2006","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",145560
"79319","2006/2007","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",153180
"79320","2007/2008","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",150936
"79321","2008/2009","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",150944
"79322","2009/2010","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",162063
"79323","2010/2011","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",176165
"79324","2011/2012","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",181689
"79325","2012/2013","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",194859
"79326","2013/2014","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",207011
"79327","2014/2015","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",215419
"79328","2015/2016","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",230207
"88833","2000/2001","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",678350
"88834","2001/2002","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",709246
"88835","2002/2003","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",736181
