"","Ref_Date","GEO","SCHOOL","EXPENDITURE","FUNDFUNCTION","expenditureAmount"
"46781","2012/2013","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",665610
"46782","2013/2014","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",695976
"46783","2014/2015","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",714512
"46784","2015/2016","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",733544
"62017","2000/2001","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",331242
"62018","2001/2002","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",343601
"62019","2002/2003","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",386447
"62020","2003/2004","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",418433
"62021","2004/2005","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",444047
"62022","2005/2006","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",463911
"62023","2006/2007","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",483406
"62024","2007/2008","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",505417
"62025","2008/2009","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",520234
"62026","2009/2010","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",578242
"62027","2010/2011","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",641351
"62028","2011/2012","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",562812
"62029","2012/2013","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",565739
"62030","2013/2014","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",570707
"62031","2014/2015","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",583186
"62032","2015/2016","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",582480
"62273","2000/2001","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",201154
"62274","2001/2002","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",215941
"62275","2002/2003","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",231916
"62276","2003/2004","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",251833
"62277","2004/2005","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",264456
"62278","2005/2006","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",280059
"62279","2006/2007","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",290460
"62280","2007/2008","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",299859
"62281","2008/2009","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",315488
"62282","2009/2010","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",324563
"62283","2010/2011","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",328824
"62284","2011/2012","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",342955
